District,Coaching Schools (Vetri Palligal),NEET Coaching Enrolment - EST (schools x 80),JEE Coaching Enrolment - EST (schools x 80),Total Coaching Enrolment - EST (schools x 160)
ARIYALUR,4,320,320,640
CHENGALPATTU,9,720,720,1440
CHENNAI (EXT. GCC),8,640,640,1280
COIMBATORE,13,1040,1040,2080
CUDDALORE,13,1040,1040,2080
DHARMAPURI,10,800,800,1600
DINDIGUL,10,800,800,1600
ERODE,16,1280,1280,2560
KALLAKURICHI,9,720,720,1440
KANCHEEPURAM,9,720,720,1440
KANNIYAKUMARI,5,400,400,800
KARUR,6,480,480,960
KRISHNAGIRI,13,1040,1040,2080
MADURAI,11,880,880,1760
MAYILADUTHURAI,4,320,320,640
NAGAPATTINAM,7,560,560,1120
NAMAKKAL,11,880,880,1760
PERAMBALUR,5,400,400,800
PUDUKKOTTAI,12,960,960,1920
RAMANATHAPURAM,8,640,640,1280
RANIPET,8,640,640,1280
SALEM,17,1360,1360,2720
SIVAGANGAI,10,800,800,1600
TENKASI,8,640,640,1280
THANJAVUR,12,960,960,1920
THE NILGIRIS,3,240,240,480
THENI,7,560,560,1120
THOOTHUKKUDI,11,880,880,1760
TIRUCHIRAPPALLI,12,960,960,1920
TIRUNELVELI,8,640,640,1280
TIRUPATHUR,5,400,400,800
TIRUPPUR,12,960,960,1920
TIRUVALLUR,13,1040,1040,2080
TIRUVANNAMALAI,19,1520,1520,3040
TIRUVARUR,9,720,720,1440
VELLORE,9,720,720,1440
VILLUPURAM,10,800,800,1600
VIRUDHUNAGAR,8,640,640,1280
TOTAL,364,29120,29120,58240
